Time,x0(t),x1(t)
16.7,0.00732,0.10071
16.72,0.00732,0.10071
16.74,0.00732,0.10046
16.76,0.00732,0.10046
16.78,0.00732,0.10046
16.8,0.00732,0.10046
16.82,0.00732,0.10046
16.84,0.00732,0.10022
16.86,0.00732,0.10022
16.88,0.00732,0.10022
16.9,0.00732,0.10022
16.92,0.00732,0.09998
16.94,0.00732,0.09973
16.96,0.00732,0.09949
16.98,0.00732,0.09949
17.0,0.00732,0.09949
17.02,0.00732,0.09949
17.04,0.00732,0.09949
17.06,0.00732,0.099
17.08,0.00732,0.09875
17.1,0.00732,0.09875
17.12,0.00732,0.09875
17.14,0.00732,0.09875
17.16,0.00732,0.09875
17.18,0.00732,0.09851
17.2,0.00732,0.09851
17.22,0.00732,0.09827
17.24,0.00732,0.09827
17.26,0.00732,0.09827
17.28,0.00732,0.09827
17.3,0.00732,0.09827
17.32,0.00732,0.09802
17.34,0.00732,0.09802
17.36,0.00732,0.09778
17.38,0.00732,0.09778
17.4,0.00732,0.09778
17.42,0.00732,0.09729
17.44,0.00732,0.09656
17.46,0.00732,0.09631
17.48,0.00732,0.09607
17.5,0.00708,0.09558
17.52,0.00708,0.09558
17.54,0.00708,0.09558
17.56,0.00708,0.09558
17.58,0.00708,0.09558
17.6,0.00708,0.09534
17.62,0.00708,0.09534
17.64,0.00708,0.09509
17.66,0.00708,0.09509
17.68,0.00708,0.09509
17.7,0.00708,0.09509
17.72,0.00708,0.09485
17.74,0.00708,0.09485
17.76,0.00708,0.0946
17.78,0.00708,0.0946
17.8,0.00708,0.09436
17.82,0.00708,0.09412
17.84,0.00708,0.09412
17.86,0.00708,0.09412
17.88,0.00708,0.09412
17.9,0.00708,0.09387
17.92,0.00708,0.09387
17.94,0.00708,0.09387
17.96,0.00708,0.09387
17.98,0.00708,0.09387
18.0,0.00708,0.09363
18.02,0.00708,0.09338
18.04,0.00708,0.09314
18.06,0.00708,0.09314
18.08,0.00708,0.09314
18.1,0.00708,0.09314
18.12,0.00708,0.09314
18.14,0.00708,0.09314
18.16,0.00684,0.09314
18.18,0.00684,0.09314
18.2,0.00684,0.09314
18.22,0.00684,0.09314
18.24,0.00684,0.09314
18.26,0.00684,0.0929
18.28,0.00684,0.09216
18.3,0.00684,0.09192
18.32,0.00684,0.09192
18.34,0.00684,0.09192
18.36,0.00684,0.09192
18.38,0.00684,0.09192
18.4,0.00684,0.09192
18.42,0.00684,0.09167
18.44,0.00684,0.09143
18.46,0.00684,0.09143
18.48,0.00684,0.09143
18.5,0.00684,0.09143
18.52,0.00684,0.09143
18.54,0.00684,0.09143
18.56,0.00684,0.09143
18.58,0.00684,0.09094
18.6,0.00684,0.09045
18.62,0.00684,0.09045
18.64,0.00684,0.09021
18.66,0.00684,0.09021
18.68,0.00684,0.08997
18.7,0.00684,0.08997
18.72,0.00684,0.08997
18.74,0.00684,0.08972
18.76,0.00684,0.08972
18.78,0.00684,0.08972
18.8,0.00684,0.08948
18.82,0.00684,0.08923
18.84,0.00684,0.08923
18.86,0.00684,0.08923
18.88,0.00684,0.08923
18.9,0.00684,0.08899
18.92,0.00684,0.08899
18.94,0.00684,0.08899
18.96,0.00684,0.08899
18.98,0.00684,0.08875
19.0,0.00684,0.0885
19.02,0.00684,0.0885
19.04,0.00684,0.0885
19.06,0.00684,0.0885
19.08,0.00684,0.0885
19.1,0.00684,0.08826
19.12,0.00684,0.08826
19.14,0.00684,0.08801
19.16,0.00684,0.08777
19.18,0.00684,0.08777
19.2,0.00659,0.08777
19.22,0.00659,0.08777
19.24,0.00659,0.08777
19.26,0.00659,0.08777
19.28,0.00659,0.08777
19.3,0.00659,0.08777
19.32,0.00659,0.08752
